oid,filter,mjd,mag,magerr,clrcoeff
771215300014928,zr,58461.19219,14.597809,0.010241293,0.07104792
771215300014928,zr,58461.19314,14.621089,0.010254102,0.068404935
771215300014928,zr,58461.19409,14.612753,0.010249477,0.059702102
771215300014928,zr,58461.19504,14.612078,0.010249104,0.05829494
771215300014928,zr,58461.19599,14.612314,0.010249235,0.057470676
771215300014928,zr,58461.19693,14.606441,0.010246004,0.060140777
771215300014928,zr,58461.19788,14.608909,0.010247358,0.05915649
771215300014928,zr,58461.19883,14.619858,0.010253416,0.05675796
771215300014928,zr,58461.19978,14.613329,0.010249795,0.0736449
771215300014928,zr,58461.20073,14.610636,0.01024831,0.0745931
771215300014928,zr,58461.20168,14.606545,0.010246062,0.07550668
771215300014928,zr,58461.20263,14.611862,0.010248985,0.07490729
771215300014928,zr,58461.20358,14.598914,0.010241893,0.07909706
771215300014928,zr,58461.20453,14.605445,0.010245457,0.07489561
771215300014928,zr,58461.20548,14.611666,0.010248876,0.07021133
771215300014928,zr,58461.20643,14.606442,0.010246004,0.07096988
771215300014928,zr,58461.20737,14.616339,0.0102514615,0.069601625
771215300014928,zr,58461.20832,14.605409,0.010245438,0.07025878
771215300014928,zr,58461.20927,14.616265,0.010251421,0.07396787
771215300014928,zr,58461.21022,14.613206,0.010249727,0.07039366
771215300014928,zr,58461.21117,14.61846,0.010252638,0.07012634
771215300014928,zr,58461.21212,14.614896,0.010250661,0.0723699
771215300014928,zr,58461.21308,14.608009,0.0102468645,0.06910388
771215300014928,zr,58461.21403,14.6117325,0.010248913,0.072831035
771215300014928,zr,58461.21498,14.623792,0.010255611,0.06633801
771215300014928,zr,58461.21593,14.614102,0.010250223,0.07044226
771215300014928,zr,58461.21688,14.610816,0.010248408,0.07228562
771215300014928,zr,58461.21782,14.606087,0.010245809,0.077902034
771215300014928,zr,58461.21877,14.604076,0.0102447085,0.07751106
771215300014928,zr,58461.21972,14.589136,0.010236606,0.0784606
771215300014928,zr,58461.22067,14.607198,0.010246418,0.07844135
771215300014928,zr,58461.22162,14.611194,0.010248616,0.07691732
771215300014928,zr,58461.22257,14.609528,0.010247699,0.07794589
771215300014928,zr,58461.22352,14.614185,0.0102502685,0.07560552
771215300014928,zr,58461.22447,14.599782,0.010242365,0.078755274
771215300014928,zr,58461.22542,14.607592,0.0102466345,0.07825962
771215300014928,zr,58461.22637,14.599557,0.010242242,0.078947574
771215300014928,zr,58461.22732,14.606052,0.01024579,0.07644565
771215300014928,zr,58461.22826,14.603375,0.010244325,0.07892223
771215300014928,zr,58461.22921,14.600729,0.010242881,0.07823963
771215300014928,zr,58461.23017,14.599983,0.010242476,0.078125976
771215300014928,zr,58461.23112,14.603454,0.010244368,0.075962506
771215300014928,zr,58461.23207,14.61277,0.010249485,0.07710051
771215300014928,zr,58461.23302,14.602596,0.0102439,0.07578572
771215300014928,zr,58461.23397,14.607749,0.010246722,0.078926474
771215300014928,zr,58461.23492,14.601288,0.010243185,0.077926554
771215300014928,zr,58461.23587,14.602334,0.010243757,0.07924999
771215300014928,zr,58461.23682,14.607122,0.010246377,0.079580426
771215300014928,zr,58461.23777,14.596038,0.010240332,0.07612613
771215300014928,zr,58461.23871,14.608881,0.010247342,0.077292666
771215300014928,zr,58461.23966,14.60807,0.010246898,0.07690866
771215300014928,zr,58461.24061,14.607876,0.010246791,0.077237286
771215300014928,zr,58461.24156,14.611395,0.010248728,0.07664056
771215300014928,zr,58461.24251,14.598557,0.0102417,0.078574896
771215300014928,zr,58461.24346,14.601875,0.010243507,0.079572044
771215300014928,zr,58461.24441,14.610097,0.010248013,0.073298946
771215300014928,zr,58461.24536,14.603229,0.010244245,0.07923445
771215300014928,zr,58461.24631,14.615418,0.010250951,0.077018395
771215300014928,zr,58461.24726,14.601114,0.010243092,0.07721285
771215300014928,zr,58461.24821,14.606936,0.010246275,0.07819293
771215300014928,zr,58461.24915,14.593532,0.010238975,0.07957117
